store,title,validFrom,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Maxima","Raudonosios besėklės vynuogės, fasuotos, 500 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f320a13ada.png","2.09","3.49","false","0","1 kg – 4,18 €","-40%","",""
"Maxima","Slyvos, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f3209b15db.png","2.49","3.69","false","0","Iki 02.23","-32%","",""
"Maxima","Dideli apelsinai, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f320a75784.png","1.49","2.39","false","0","Iki 02.23","-37%","",""
"Maxima","Melionai PIEL DE SAPO, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f320987890.png","1.69","2.49","false","0","Iki 02.23","-32%","",""
"Maxima","Didieji greipfrutai POMELO, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f320907ea4.png","0.85","1.19","false","0","Iki 02.23","-28%","",""
"Maxima","Pomidorai, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/6996b8776ea44.png","1.99","2.99","false","0","Iki 02.23","-33%","",""
"Maxima","Brokolis, 1 vnt.","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f32095c67f.png","1.39","1.99","false","0","Iki 02.23","-30%","",""
"Maxima","Salierų stiebas, 1 vnt.","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f320a3f822.png","1.19","1.69","false","0","Iki 02.23","-29%","",""
"Maxima","Raudonųjų ridikėlių ryšulėlis, 1 vnt.","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f320932dbc.png","0.79","0.99","false","0","Iki 02.23","-20%","",""
"Maxima","Plautos bulvės LINKĖJIMAI IŠ KAIMO, fasuotos, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fc7269b.png","0.89","1.39","false","0","Iki 02.23","-35%","",""
"Maxima","Rauginti kopūstai LINKĖJIMAI IŠ KAIMO, fasuoti, 800 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fcb571f.png","1.75","2.49","false","0","1 kg – 2,19 €","-29%","",""
"Maxima","Atšaldyta kiaulienos nugarinė be kaulo*, vakuumuota, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fa902c6.png","3.99","5.99","false","0","Iki 02.23","-33%","",""
"Maxima","UTENOS MĖSOS GIMINIŲ linijai*","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31ee92fdb.png","","","false","0","Iki 02.23","-50%","",""
"Maxima","VILNIAUS PAUKŠTYNO šviežiai paukštienai UŽAUGINTA BE ANTIBIOTIKŲ*","","2026-02-22","https://offers.maxima.lt/media/MarketingOffer/698f32056ad0b.png","","","false","0","Iki 02.22","-30%","",""
"Maxima","VILNIAUS PAUKŠTYNO vištienos; višč. šlaun. mėsos ieš. FIESTA su mar.*, 2 rūšių, 480 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31ebbb823.png","3.99","5.99","false","2","1 kg – 8,31 €","-33%","",""
"Maxima","Lėtai virti šonkauliai BIOVELA*, 900 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31eba563e.png","7.49","14.99","false","2","1 kg – 8,32 €","-50%","",""
"Maxima","Šviežia viščiukų broilerių šlaunelių mėsa WELL DONE*, 500 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fa55830.png","3.29","3.79","false","0","1 kg – 6,58 €","-13%","",""
"Maxima","Sausai marinuoti kiaulienos šonkauliai BIOVELA*, fasuoti, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f9ebb98.png","5.49","9.99","true","2","Iki 02.23 , nuo","","",""
"Maxima","Šviežia kiaulienos šoninė be kaulo WELL DONE*, fasuota, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f9645ea.png","2.95","5.29","true","2","Iki 02.23 , nuo","","",""
"Maxima","Šviežia smulkinta kiauliena ir jautiena WELL DONE*, rieb. ne daugiau 20 %, 400 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fa35761.png","2.29","2.79","false","0","1 kg – 5,73 €","-17%","",""
"Maxima","Šviežios kiaulienos plonosios dešrelės WELL DONE*, 400 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fa724a1.png","2.09","2.69","false","0","1 kg – 5,23 €","-22%","",""
"Maxima","Atšaldyti kiaulienos sprandinės pjausniai WELL DONE*, 360 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f98403f.png","2.79","3.29","false","0","1 kg – 7,75 €","-15%","",""
"Maxima","Brandintas jautienos antrekotas su kaulu KREKENAVOS GRYNUOLIAI*, brandinta 14 d., 260 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f9a6326.png","4.99","8.49","false","2","1 kg – 19,19 €","-41%","",""
"Maxima","Švieži kalakutienos krūtinėlių pjausniai WELL DONE*, 400 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f9c8c35.png","4.79","5.49","true","2","Iki 02.23 , nuo","","",""
"Maxima","Šviežias viščiukas broileris WELL DONE, užauginta be antibiotikų*, fasuotas, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f32014fdf4.png","3.99","4.99","false","2","Iki 02.23 , nuo","-20%","",""
"Maxima","Sausai marinuotas kiaulienos sprandinės šašlykas BIOVELA*, 800 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f3200d66fc.png","5.99","9.99","false","2","1 kg – 7,49 €","-40%","",""
"Maxima","VILNIAUS PAUKŠTYNO viščiukų sparn. peteliai; vid. dalys PREMIUM*, 3 rūšių, 500 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f3201bda43.png","3.79","4.49","false","0","1 kg – 7,58 €","-15%","",""
"Maxima","Lėtai virti marinuoti KREKENAVOS kiaulienos šonkauliai*, fasuoti, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f32017464c.png","7.99","15.49","false","2","Iki 02.23 , nuo","-48%","",""
"Maxima","Virtos SAMSONO pieniškos dešrelės*, a. r., 2 pak. × 310 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31ef10e2d.png","3.99","","false","0","1 kg – 6,44 €","","",""
"Maxima","Virtos kepamosios vištienos dešrelės WELL DONE*, 2 rūšių, a. r., 270 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31eeec73c.png","1.69","1.99","false","0","1 kg – 6,26 €","-15%","",""
"Maxima","Karštai rūkytas KREKENAVOS servelatas vakuume*, a. r., 2 vnt. × 400 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31eebfb2e.png","4.29","","false","0","1 kg – 5,36 €","","",""
"Maxima","Karštai rūkyta sausai sūdyta KLEBONIŠKA nugarinė SAMSONAS*, fasuota, a. r., 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f32029284b.png","13.49","18.49","false","0","Iki 02.23","-27%","",""
"Maxima","Karštai rūkyta kiaulienos filė su kmynais BIOVELA*, fasuota, I r., 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f3203368f5.png","11.99","14.99","false","0","Iki 02.23","-20%","",""
"Maxima","Šaltai rūkyta skilandinė dešra WELL DONE*, a. r., 350 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f32035b707.png","2.99","4.99","false","0","1 kg – 8,54 €","-40%","",""
"Maxima","Pjaustyta šaltai rūkyta kiaulienos nugarinė WELL DONE*, a. r., 100 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f3202b9b5e.png","1.49","1.99","false","0","1 kg – 14,90 €","-25%","",""
