store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Rimi","VILKYŠKIŲ kefyras, 2,5 % rieb., 1 kg","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_297351_PCE_LT","1.49","1.89","false","","1,49 €/kg","","",""
"Rimi","Viščiukų filė be antibiotikų RIMI, 500 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_816942_PCE_LT","3.29","5.49","false","","6,58 €/kg","","",""
"Rimi","Pomidorų gabaliukai RIMI, 400 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_807736_PCE_LT","0.99","1.55","true","","3,87 €/kg","","","2,47 €/kg"
"Rimi","Pop. rankšluosčiai ZEWA KLASSIC, 2sl., 2rit.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_679505_PCE_LT","1.19","2.39","true","","1,20 €/vnt.","-50%","","0,60 €/vnt."
"Rimi","Obuoliai RED JONAPRINCE, 1 kl.,1kg","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_955108_KGM_LT","0.99","1.99","false","","0,99 €/kg","","",""
"Rimi","Špinatai, 200 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_909368_PCE_LT","1.33","1.89","true","","9,45 €/kg","","","6,65 €/kg"
"Rimi","Fasuoti avokadai RIMI, 750 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_905516_PCE_LT","3.19","3.99","true","","5,32 €/kg","","","4,25 €/kg"
"Rimi","Kosmet.servet. ZEWA EVERYDAY 2sl.100vnt","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_432310_PCE_LT","1.09","2.19","true","","0,02 €/vnt.","-50%","","0,01 €/vnt."
"Rimi","Drėgnas tualetin. popierius ZEWA PURE, 42vnt.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_7146603_PCE_LT","1.79","3.59","true","","0,09 €/vnt.","-50%","","0,04 €/vnt."
"Rimi","Mažos morkytės RIMI, 200 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_299574_PCE_LT","0.89","1.49","true","","7,45 €/kg","","","4,45 €/kg"
