store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Lidl","Ekologiškos morkos","","https://imgproxy-retcat.assets.schwarz/fg6j0eZPpfpkJC-jyG7ArQNJHdWVHhssmCWuWb6MMYU/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzA4MDgxNkE1OEYwRDM4NkNFMEI5NUI2OT/lGQTgyRUE5RTlENjlGRjIyQkFEQTJCNDlCMDhCNEI4QjcyQzdGQTAucG5n.png","1.29","1.99","true","","1 kg","-35%","",""
"Lidl","Kriaušės „Conference“","","https://imgproxy-retcat.assets.schwarz/keievqwpflH5v5towxfDzZyB5y7Ut19r1ha33KBEy14/sm:1/exar:1:ce/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9CNkU1NzJCNEQ0QzlFQjdCMjIwOUU0MjA/4QzE3RjA5Rjg0MTM0OTE0MzQ2QkJCNjM4NEM4RTVEQjY0RTZGRDZGLnBuZw.png","1.49","2.19","false","","1 kg","-31%","",""
"Lidl","Nektarinai","","https://imgproxy-retcat.assets.schwarz/0iZBBAf1CyQSumVF5lHNcBhoCAHpP2dJnlm8TdNAVpE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8wOTMzQ0M2RDQ2MDg3MTYyRDM5MjU1MjR/FRUM4RjcyQTFFNzQxRkZDN0JBNjdDOEU0NUZGMzU4QkQ0NzUwQTExLnBuZw.png","3.49","6.99","false","","1 kg","-50%","",""
"Lidl","Lietuviški svogūnų laiškai","","https://imgproxy-retcat.assets.schwarz/0-9u5zWPVaoWj7hilflaPsqTkDjDNw6L4uVJ5EVt0BE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzEzMEMwNEExMzExQjQ4NjI0RTgzQTEyMT/A0RjMwMDBDRUQwOEQ5MURFRTE5MUY4NUVEMzgxMjI0OUNCOTU0RDgucG5n.png","0.89","1.39","false","","100 g | 1 kg = 8,90 €","-35%","",""
"Lidl","Sviestinis kruasanas","","https://imgproxy-retcat.assets.schwarz/CJn3pHEmiPffH4o1U15IVJcmAXBIB86LZLHgi2l9Ei0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzFENzcyRjVFNjAzOEU1MkUyMUIxRjgwRj/Y3NjAwQ0YxMjE1RjkwQzRGOTQzRTFCNUVCQThGRTg2NTY1MDYyMDcucG5n.png","0.31","0.39","false","","60 g / 1 kg = 5,17 €","-20%","",""
"Lidl","Beigelis su aguonomis","","https://imgproxy-retcat.assets.schwarz/qEoMy27Hz5bV5LUA7MNe4e7sTufxFR23OXAc7zv1WM4/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9DMTdGRTQ2MzRERkY4RjA4QTYxMkJDNUE/xMjE4QzExMUU5QjVDOEI3MkQ4MDdFNDdBRDk3MjExM0Y5MTNFMzBBLnBuZw.png","0.5","0.59","false","","80 g / 1 kg = 3,13 €","-15%","",""
"Lidl","Mini pica su mocarela ir saulėje džiovintais pomidorais","","https://imgproxy-retcat.assets.schwarz/djzs92n-cT1YvNnrxbU6DIZW3JSA2iyPu88_OCoWcMk/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzdFRENCRjcwQTE5QUQ4OENCMDZCNTI0MD/k4QkM1MDhFMjVCMjhCRUQzNkQ2QUQyMzk3RkVEODc3NUYyQUVDN0IucG5n.png","0.99","1.39","true","","160 g | 1 kg = 6,19 €","-29%","",""
"Lidl","Bandelė su špinatais","","https://imgproxy-retcat.assets.schwarz/a8-P-qJ76XX0EEuw7uIOGCshceq6G2dsKzV7oasgc3s/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8wQjBFRjk0RjZFNEJEQUFCNzZCMTZCM0R/CNTU2NzE2RTAwNkY2OUIxQjA4ODcxOTRDNTZFNTU2NkI1ODlCNTU2LnBuZw.png","0.69","","false","","170 g | 1 kg = 4,06 €","SUPERKAINA!","",""
"Lidl","Pistacijų skonio spurga","02 16 - 02 22","https://imgproxy-retcat.assets.schwarz/oVYaV09XHCaYYnXVBNwo7rzsTXzPA7Wv-9nzjbFYJCM/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8wRTVENUMxRjIxOEI1NjI1MjA3MEU1Q0R/FMzYyRDgwRUM0NzBEMTFEMzUyNkRFQjg4MzE4NTk1Njk4NzNBMDcxLnBuZw.png","0.89","","false","","73 g |1 kg = 12,19 €","SUPERKAINA!","",""
"Lidl","Raikyta sumuštinių duona","02 16 - 02 22","https://imgproxy-retcat.assets.schwarz/lYV1Kx25jgblDyGfOkysjlKbtbQhq1gvmLtOZtR7WEU/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9DQjAyOTM5NjM3RDU5M0UwNkQwNTg0MEI/xNUU2NUQzMjZBNzc2QUIwQ0IzMzBGRUQzMzg3RTU1N0RGQzAxRUE2LnBuZw.png","0.79","0.99","false","","500 g | 1 kg = 1,58 €","-20%","",""
