store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"IKI","Sveriami saldainiai SKRIVERU KARVUTĖ","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-030.jpg","7.79","10.49","true","3","1 kg. Pasiūlymas galioja 2026 02 16 – 02 22","TIK","",""
"IKI","Sveriami saldainiai MIGLĖ","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-031.jpg","8.59","12.49","true","3","1 kg, 2 rūšių","TIK","",""
"IKI","Šokolado plytelė SCHOGETTEN","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-032.jpg","1.49","2.69","true","0","100 g, 5 rūšių, 14,90 Eur/kg. Pasiūlymas galioja 2026 02 16 – 02 22","TIK","",""
"IKI","Šokolado plytelė RITTER SPORT","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-033.jpg","1.89","2.99","true","3","100 g, 4 rūšių, 18,90 Eur/kg","TIK","",""
"IKI","BILLA PREMIUM sausainiai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-034.jpg","1.79","2.99","true","3","200 g, 210 g, 3 rūšių","-40%","",""
"IKI","Vafliai TALER","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-035.jpg","1.19","1.99","true","0","135 g, 180 g, 3 rūšių","-40%","",""
"IKI","Saulėgrąžų chalva","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-036.jpg","1.09","1.69","true","0","400 g, 2,73 Eur/kg","TIK","",""
"IKI","Pieno produktams AUGA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-040.jpg","-20%","","true","3","7 rūšių","","",""
"IKI","Plėšomosios bandelės BRIOCHE su sviestu","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-041.jpg","0.99","1.39","true","0","200 g","","",""
"IKI","Mėsos gaminiams NOEL","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-042.jpg","-20%","","true","3","60 g, 120 g, 170 g, 240 g, 4 rūšių","","",""
"IKI","Riešutams, kukurūzų spragėsiams ESTRELLA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-043.jpg","-30%","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Nealkoholinis alus KRONENBOURG BLANC","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-044.jpg","1.09","1.59","true","0","0,33 l. Ir IKI EXPRESS","","",""
"IKI","Tualetinis popierius VELTIE EXCELLENCE","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-045.jpg","3.49","7.49","true","0","9 rit., 160 lap., 4 sl.","","",""
"IKI","Bananai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-046.jpg","0.99","","true","0","1 kg. Ir IKI EXPRESS","SUPER KAINA","",""
"IKI","Kriaušėms","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-047.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Kiviams","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-048.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Mažieji apelsinai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-049.jpg","0.99","","true","0","1 kg","TIK","",""
"IKI","Šviežioms uogoms","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-050.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Ananasai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-051.jpg","1.69","","true","3","1 kg","TIK","",""
"IKI","Raudonosios besėklės vynuogės","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-052.jpg","1.99","","true","3","3,98 Eur/kg. Ir IKI EXPRESS","TIK","",""
"IKI","Drakono vaisius","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-053.jpg","3.99","","true","3","1 vnt.","TIK","",""
"IKI","Pasiflora","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-054.jpg","0.59","","true","3","1 vnt.","TIK","",""
"IKI","Mandarinai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-055.jpg","1.69","","true","0","1 kg. Ir IKI EXPRESS","TIK","",""
"IKI","Didieji raudonieji greipfrutai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-056.jpg","1.49","","true","0","1 kg","TIK","",""
"IKI","IKI ŪKIS obuoliai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-057.jpg","1.59","","true","0","Ir IKI EXPRESS","TIK","",""
"IKI","Džiovinti bananai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-058.jpg","0.99","","true","3","3,96 Eur/kg. Ir IKI EXPRESS","TIK","",""
"IKI","Džiovinti duonvaisiai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-059.jpg","2.99","","false","0","2,99 Eur/vnt.","1+1","",""
"IKI","Vaisių sultims SUN 365","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-060.jpg","","","true","3","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Sunokę avokadai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-061.jpg","1.99","","true","0","1,00 Eur/vnt. IKI EXPRESS","TIK","",""
"IKI","Slyviniai pomidorai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-062.jpg","2.59","","true","0","1 kg","TIK","",""
"IKI","IKI ŪKIS juodieji ar geltonieji slyviniai pomidorai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-063.jpg","3.49","","true","3","2 rūšių","TIK","",""
"IKI","BON VIA slyviniai vynuoginiai pomidoriukai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-064.jpg","1.39","","true","0","5,56 Eur/kg","TIK","",""
"IKI","Žiedinis kopūstas","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-065.jpg","2.49","","true","0","1 vnt.","TIK","",""
"IKI","BON VIA brokolis","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-066.jpg","1.49","","true","0","1 vnt.","TIK","",""
"IKI","Šviežių morkų ryšulėlis","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-067.jpg","1.19","","true","3","1 vnt.","TIK","",""
"IKI","Ridikėliams","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-068.jpg","","","true","0","3 rūšių","","",""
"IKI","Lapinė salota vazonėlyje KIETAVIŠKIŲ","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-069.jpg","0.79","","true","3","1 vnt.","TIK","",""
"IKI","Rudieji pievagrybiai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-070.jpg","1.39","","true","3","5,56 Eur/kg","TIK","",""
"IKI","CLEVER kopūstai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-071.jpg","0.49","","true","0","1 kg","TIK","",""
"IKI","CLEVER burokėliai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-072.jpg","0.49","","true","0","1 kg","TIK","",""
"IKI","IKI ŪKIS virti burokėliai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-073.jpg","0.69","","true","0","1,38 Eur/kg","TIK","",""
"IKI","Plautiems salotų mišiniams FIT & EASY","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-074.jpg","","","true","0","3 rūšių. Ir IKI EXPRESS","","",""
"IKI","Fasuoti svogūnų sodinukai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-075.jpg","1.39","","true","0","Įvairių rūšių","TIK","",""
"IKI","IKI ŠEFAI keptiems blynams ir lietiniams","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-076.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","IKI ŠEFAI kepti KYJIVO kotletai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-077.jpg","3.29","4.29","true","0","270 g, 12,19 Eur/kg. Ir IKI EXPRESS","-23%","",""
"IKI","IKI ŠEFAI troškinta vištiena su morkomis ir ryžiais","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-078.jpg","3.49","4.79","true","3","300 g, 11,63 Eur/kg. Ir IKI EXPRESS","-27%","",""
"IKI","IKI ŠEFAI vištienos filė su daržovėmis ir sūriu","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-079.jpg","7.99","11.99","true","3","600 g, (šeiminė pakuotė), 13,32 Eur/kg","-33%","",""
"IKI","IKI ŠEFAI saldžiarūgštė vištiena su ryžiais","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-080.jpg","2.99","4.79","true","3","300 g, 9,97 Eur/kg","-37%","",""
"IKI","IKI ŠEFAI LIETUVIŠKOMS salotoms su kumpiu","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-081.jpg","","","true","0","350 g, 1 kg. Ir IKI EXPRESS","","",""
"IKI","IKI ŠEFAI CEZARIO salotos su vištiena","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-082.jpg","2.99","4.29","true","0","170 g, 17,59 Eur/kg. Ir IKI EXPRESS","-30%","",""
"IKI","IKI ŠEFAI trikampis sumuštinis su kepta šonine ir daržovėmis","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-083.jpg","1.99","3.19","true","0","180 g, 11,06 Eur/kg. Ir IKI EXPRESS","-37%","",""
"IKI","IKI ŠEFAI mėsainis su vištienos maltinuku","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-084.jpg","3.98","1.99","false","0","160 g, 1,99 Eur/vnt. Ir IKI EXPRESS","2+1","",""
"IKI","IKI ŠEFAI troškintam kiaulienos plovui","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-085.jpg","","","true","0","300 g, 1 kg","","",""
"IKI","Varškės tortas su uogomis","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-086.jpg","13.99","17.99","true","3","1 kg","-22%","",""
